id,label,type,canonical_id,description
ASTRO_Sun_H4,Sun H4,astro_alias,HP_sun_4,ASTRO_Sun_H4 is an alias for HP_sun_4.
ASTRO_Sun_H5,Sun H5,astro_alias,HP_sun_5,ASTRO_Sun_H5 is an alias for HP_sun_5.
ASTRO_Sun_H6,Sun H6,astro_alias,HP_sun_6,ASTRO_Sun_H6 is an alias for HP_sun_6.
ASTRO_Sun_H7,Sun H7,astro_alias,HP_sun_7,ASTRO_Sun_H7 is an alias for HP_sun_7.
ASTRO_Sun_H8,Sun H8,astro_alias,HP_sun_8,ASTRO_Sun_H8 is an alias for HP_sun_8.
ASTRO_Sun_H9,Sun H9,astro_alias,HP_sun_9,ASTRO_Sun_H9 is an alias for HP_sun_9.
ASTRO_Sun_Leo,Sun Leo,astro_alias,PS_sun_leo,ASTRO_Sun_Leo is an alias for PS_sun_leo.
ASTRO_Sun_Libra,Sun Libra,astro_alias,PS_sun_lib,ASTRO_Sun_Libra is an alias for PS_sun_lib.
ASTRO_Sun_Pisces,Sun Pisces,astro_concept,,ASTRO_Sun_Pisces 점성학 개념/조합 노드.
ASTRO_Sun_Sagittarius,Sun Sagittarius,astro_concept,,ASTRO_Sun_Sagittarius 점성학 개념/조합 노드.
ASTRO_Sun_Scorpio,Sun Scorpio,astro_concept,,ASTRO_Sun_Scorpio 점성학 개념/조합 노드.
ASTRO_Sun_Taurus,Sun Taurus,astro_concept,,ASTRO_Sun_Taurus 점성학 개념/조합 노드.
ASTRO_Sun_Virgo,Sun Virgo,astro_concept,,ASTRO_Sun_Virgo 점성학 개념/조합 노드.
ASTRO_TIMING_JupiterReturn,TIMING JupiterReturn,astro_alias,AT_jupiter_return,ASTRO_TIMING_JupiterReturn is an alias for AT_jupiter_return.
ASTRO_TIMING_SaturnReturn,TIMING SaturnReturn,astro_alias,AT_saturn_return,ASTRO_TIMING_SaturnReturn is an alias for AT_saturn_return.
ASTRO_TRANSFORMATION_Pluto1st,TRANSFORMATION Pluto1st,astro_alias,HP_pluto_1,ASTRO_TRANSFORMATION_Pluto1st is an alias for HP_pluto_1.
ASTRO_TRANSIT_JUPITER,TRANSIT JUPITER,astro_alias,AT_jupiter,ASTRO_TRANSIT_JUPITER is an alias for AT_jupiter.
ASTRO_TRANSIT_MARS,TRANSIT MARS,astro_concept,,ASTRO_TRANSIT_MARS 점성학 개념/조합 노드.
ASTRO_TRANSIT_MERCURY,TRANSIT MERCURY,astro_concept,,ASTRO_TRANSIT_MERCURY 점성학 개념/조합 노드.
ASTRO_TRANSIT_SATURN,TRANSIT SATURN,astro_alias,AT_saturn,ASTRO_TRANSIT_SATURN is an alias for AT_saturn.
ASTRO_TRANSIT_VENUS,TRANSIT VENUS,astro_concept,,ASTRO_TRANSIT_VENUS 점성학 개념/조합 노드.
ASTRO_TRAVEL_9thHouse,TRAVEL 9thHouse,astro_alias,H9,ASTRO_TRAVEL_9thHouse is an alias for H9.
ASTRO_Uranus,Uranus,astro_alias,Uranus,ASTRO_Uranus is an alias for Uranus.
ASTRO_Uranus_Aquarius,Uranus Aquarius,astro_concept,,ASTRO_Uranus_Aquarius 점성학 개념/조합 노드.
ASTRO_Uranus_Aries,Uranus Aries,astro_concept,,ASTRO_Uranus_Aries 점성학 개념/조합 노드.
ASTRO_Uranus_Cancer,Uranus Cancer,astro_concept,,ASTRO_Uranus_Cancer 점성학 개념/조합 노드.
ASTRO_Uranus_Capricorn,Uranus Capricorn,astro_concept,,ASTRO_Uranus_Capricorn 점성학 개념/조합 노드.
ASTRO_Uranus_Gemini,Uranus Gemini,astro_concept,,ASTRO_Uranus_Gemini 점성학 개념/조합 노드.
ASTRO_Uranus_H1,Uranus H1,astro_alias,HP_uranus_1,ASTRO_Uranus_H1 is an alias for HP_uranus_1.
ASTRO_Uranus_H10,Uranus H10,astro_concept,,ASTRO_Uranus_H10 점성학 개념/조합 노드.
ASTRO_Uranus_H11,Uranus H11,astro_alias,HP_uranus_11,ASTRO_Uranus_H11 is an alias for HP_uranus_11.
ASTRO_Uranus_H12,Uranus H12,astro_concept,,ASTRO_Uranus_H12 점성학 개념/조합 노드.
ASTRO_Uranus_H2,Uranus H2,astro_concept,,ASTRO_Uranus_H2 점성학 개념/조합 노드.
ASTRO_Uranus_H3,Uranus H3,astro_concept,,ASTRO_Uranus_H3 점성학 개념/조합 노드.
ASTRO_Uranus_H4,Uranus H4,astro_concept,,ASTRO_Uranus_H4 점성학 개념/조합 노드.
ASTRO_Uranus_H5,Uranus H5,astro_concept,,ASTRO_Uranus_H5 점성학 개념/조합 노드.
ASTRO_Uranus_H6,Uranus H6,astro_concept,,ASTRO_Uranus_H6 점성학 개념/조합 노드.
ASTRO_Uranus_H7,Uranus H7,astro_concept,,ASTRO_Uranus_H7 점성학 개념/조합 노드.
ASTRO_Uranus_H8,Uranus H8,astro_concept,,ASTRO_Uranus_H8 점성학 개념/조합 노드.
ASTRO_Uranus_H9,Uranus H9,astro_concept,,ASTRO_Uranus_H9 점성학 개념/조합 노드.
ASTRO_Uranus_Leo,Uranus Leo,astro_concept,,ASTRO_Uranus_Leo 점성학 개념/조합 노드.
ASTRO_Uranus_Libra,Uranus Libra,astro_concept,,ASTRO_Uranus_Libra 점성학 개념/조합 노드.
ASTRO_Uranus_Pisces,Uranus Pisces,astro_concept,,ASTRO_Uranus_Pisces 점성학 개념/조합 노드.
ASTRO_Uranus_Sagittarius,Uranus Sagittarius,astro_concept,,ASTRO_Uranus_Sagittarius 점성학 개념/조합 노드.
ASTRO_Uranus_Scorpio,Uranus Scorpio,astro_concept,,ASTRO_Uranus_Scorpio 점성학 개념/조합 노드.
ASTRO_Uranus_Taurus,Uranus Taurus,astro_concept,,ASTRO_Uranus_Taurus 점성학 개념/조합 노드.
ASTRO_Uranus_Virgo,Uranus Virgo,astro_concept,,ASTRO_Uranus_Virgo 점성학 개념/조합 노드.
ASTRO_Venus,Venus,astro_alias,Venus,ASTRO_Venus is an alias for Venus.
ASTRO_Venus_Aquarius,Venus Aquarius,astro_concept,,ASTRO_Venus_Aquarius 점성학 개념/조합 노드.
ASTRO_Venus_Aries,Venus Aries,astro_concept,,ASTRO_Venus_Aries 점성학 개념/조합 노드.
ASTRO_Venus_Cancer,Venus Cancer,astro_concept,,ASTRO_Venus_Cancer 점성학 개념/조합 노드.
ASTRO_Venus_Capricorn,Venus Capricorn,astro_concept,,ASTRO_Venus_Capricorn 점성학 개념/조합 노드.
ASTRO_Venus_Gemini,Venus Gemini,astro_concept,,ASTRO_Venus_Gemini 점성학 개념/조합 노드.
ASTRO_Venus_H1,Venus H1,astro_alias,HP_venus_1,ASTRO_Venus_H1 is an alias for HP_venus_1.
ASTRO_Venus_H10,Venus H10,astro_concept,,ASTRO_Venus_H10 점성학 개념/조합 노드.
ASTRO_Venus_H11,Venus H11,astro_concept,,ASTRO_Venus_H11 점성학 개념/조합 노드.
ASTRO_Venus_H12,Venus H12,astro_concept,,ASTRO_Venus_H12 점성학 개념/조합 노드.
ASTRO_Venus_H2,Venus H2,astro_alias,HP_venus_2,ASTRO_Venus_H2 is an alias for HP_venus_2.
ASTRO_Venus_H3,Venus H3,astro_concept,,ASTRO_Venus_H3 점성학 개념/조합 노드.
ASTRO_Venus_H4,Venus H4,astro_concept,,ASTRO_Venus_H4 점성학 개념/조합 노드.
ASTRO_Venus_H5,Venus H5,astro_alias,HP_venus_5,ASTRO_Venus_H5 is an alias for HP_venus_5.
ASTRO_Venus_H6,Venus H6,astro_concept,,ASTRO_Venus_H6 점성학 개념/조합 노드.
ASTRO_Venus_H7,Venus H7,astro_alias,HP_venus_7,ASTRO_Venus_H7 is an alias for HP_venus_7.
ASTRO_Venus_H8,Venus H8,astro_concept,,ASTRO_Venus_H8 점성학 개념/조합 노드.
ASTRO_Venus_H9,Venus H9,astro_concept,,ASTRO_Venus_H9 점성학 개념/조합 노드.
ASTRO_Venus_Leo,Venus Leo,astro_concept,,ASTRO_Venus_Leo 점성학 개념/조합 노드.
ASTRO_Venus_Libra,Venus Libra,astro_concept,,ASTRO_Venus_Libra 점성학 개념/조합 노드.
ASTRO_Venus_Pisces,Venus Pisces,astro_alias,PS_venus_pis,ASTRO_Venus_Pisces is an alias for PS_venus_pis.
ASTRO_Venus_Sagittarius,Venus Sagittarius,astro_concept,,ASTRO_Venus_Sagittarius 점성학 개념/조합 노드.
ASTRO_Venus_Scorpio,Venus Scorpio,astro_alias,PS_venus_sco,ASTRO_Venus_Scorpio is an alias for PS_venus_sco.
ASTRO_Venus_Taurus,Venus Taurus,astro_alias,PS_venus_tau,ASTRO_Venus_Taurus is an alias for PS_venus_tau.
ASTRO_Venus_Virgo,Venus Virgo,astro_concept,,ASTRO_Venus_Virgo 점성학 개념/조합 노드.
ASTRO_WEALTH_2ndHouse,WEALTH 2ndHouse,astro_alias,H2,ASTRO_WEALTH_2ndHouse is an alias for H2.
ASTRO_WEALTH_Jupiter2nd,WEALTH Jupiter2nd,astro_alias,HP_jupiter_2,ASTRO_WEALTH_Jupiter2nd is an alias for HP_jupiter_2.
ASTRO_WISDOM_Jupiter9th,WISDOM Jupiter9th,astro_alias,HP_jupiter_9,ASTRO_WISDOM_Jupiter9th is an alias for HP_jupiter_9.
ASTRO_jupiter,jupiter,astro_alias,Jupiter,ASTRO_jupiter is an alias for Jupiter.
ASTRO_mars,mars,astro_alias,Mars,ASTRO_mars is an alias for Mars.
ASTRO_mercury,mercury,astro_alias,Mercury,ASTRO_mercury is an alias for Mercury.
ASTRO_moon,moon,astro_alias,Moon,ASTRO_moon is an alias for Moon.
ASTRO_neptune,neptune,astro_alias,Neptune,ASTRO_neptune is an alias for Neptune.
ASTRO_pluto,pluto,astro_alias,Pluto,ASTRO_pluto is an alias for Pluto.
ASTRO_saturn,saturn,astro_alias,Saturn,ASTRO_saturn is an alias for Saturn.
ASTRO_sun,sun,astro_alias,Sun,ASTRO_sun is an alias for Sun.
ASTRO_uranus,uranus,astro_alias,Uranus,ASTRO_uranus is an alias for Uranus.
ASTRO_venus,venus,astro_alias,Venus,ASTRO_venus is an alias for Venus.
astro_lunar_eclipse,astro lunar eclipse,astro_concept,,astro_lunar_eclipse 점성학 개념/조합 노드.
astro_lunar_fullmoon,astro lunar fullmoon,astro_concept,,astro_lunar_fullmoon 점성학 개념/조합 노드.
astro_lunar_newmoon,astro lunar newmoon,astro_concept,,astro_lunar_newmoon 점성학 개념/조합 노드.
astro_lunar_waning,astro lunar waning,astro_concept,,astro_lunar_waning 점성학 개념/조합 노드.
astro_lunar_waxing,astro lunar waxing,astro_concept,,astro_lunar_waxing 점성학 개념/조합 노드.
